countries,Year,GrDP (Territorial & Low GHG with VOLY) scenario [Million Euro],GrDP (Territorial & Low GHG with VSL) scenario [Million Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Million Euro],GrDP (Territorial & Central GHG with VSL) scenario [Million Euro],GrDP (Territorial & High GHG with VOLY) scenario [Million Euro],GrDP (Territorial & High GHG with VSL) scenario [Million Euro],GrDP (Residential & Low GHG with VOLY) scenario [Million Euro],GrDP (Residential & Low GHG with VSL) scenario [Million Euro],GrDP (Residential & Central GHG with VOLY) scenario [Million Euro],GrDP (Residential & Central GHG with VSL) scenario [Million Euro],GrDP (Residential & High GHG with VOLY) scenario [Million Euro],GrDP (Residential & High GHG with VSL) scenario [Million Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Million Euro],GrDP (Footprint & Low GHG with VSL) scenario [Million Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Million Euro],GrDP (Footprint & Central GHG with VSL) scenario [Million Euro],GrDP (Footprint & High GHG with VOLY) scenario [Million Euro],GrDP (Footprint & High GHG with VSL) scenario [Million Euro]
Greece,1998,90695.023526,52394.56805100001,85623.043046,47322.58757100001,35023.99968600001,-3276.455788999985,,,,,,,,,,,,
Spain,1998,434295.80463400006,258875.72741500003,421514.50323400006,246094.42601500003,294005.80593400006,118585.72871500003,,,,,,,,,,,,
Finland,1998,111900.385333,105125.45522599999,109875.181873,103100.251766,89671.36640299999,82896.436296,,,,,,,,,,,,
France,1998,1144258.274239,859901.59686,1122201.990199,837845.3128200001,902164.299419,617807.62204,,,,,,,,,,,,
Croatia,1998,6819.301715000001,-14962.392042999996,6091.888595,-15689.805163,-1164.9232449999981,-22946.617002999996,,,,,,,,,,,,
Hungary,1998,7855.443550000004,-54225.771453,4765.62199,-57315.593013,-26059.026430000005,-88140.24143299999,7415.505212770004,-54665.709790229994,4032.391427949995,-58048.823575049995,-29718.196092039994,-91799.41109503998,6792.636812770004,-55288.578190229986,2994.277427950001,-59086.93757505,-34898.879292039994,-96980.09429503998
Ireland,1998,65364.816355999996,49795.697838,62343.969295999996,46774.850778,32207.423625999996,16638.305108,,,,,,,,,,,,
Italy,1998,876057.057817,435991.7960659999,853544.6957769999,413479.434026,628957.083997,188891.82224599994,,,,,,,,,,,,
Lithuania,1998,7228.763776000001,3308.082665000001,6553.673836000001,2632.992725000001,-181.151993999998,-4101.833104999998,,,,,,,,,,,,
Latvia,1998,-958.8224319999999,-6278.418523,-930.1645719999997,-6249.760662999999,-644.2683020000004,-5963.864393,,,,,,,,,,,,
Malta,1998,3142.55126,2695.2198430000003,3025.6388,2578.3073830000003,1859.2978300000002,1411.966413,3126.5417560700002,2679.2103390700004,2998.95629345,2551.6248764500006,1726.1394163600005,1278.8079993600004,2985.55405607,2538.2226390700002,2763.9767934500005,2316.64537645,553.4798163600003,106.14839936000044
Netherlands,1998,343648.92614600004,274135.35358700005,333566.897966,264053.325407,232986.66445600003,163473.09189700003,342780.64020209,273267.06764309003,332119.75472615,262606.18216715,225764.73057332003,156251.15801432004,340246.34550209,270732.77294309,327895.93022615,258382.35766715003,204685.83497332004,135172.26241432005
Norway,1998,130943.12285305881,124615.15303605881,129293.95001305881,122965.98019605881,112841.48763305882,106513.51781605881,,,,,,,,,,,,
Poland,1998,42213.73392500001,-100550.75141499998,26292.54780500001,-116471.937535,-132540.237535,-275304.722875,,,,,,,,,,,,
Portugal,1998,76600.891945,32001.218102,73848.778525,29249.104682000005,46393.170835,1793.4969920000003,75924.30694591001,31324.63310291001,72721.13685985,28121.46301685,40765.70195367999,-3833.9718893200043,74552.64574591,29952.97190291001,70435.03485985,25835.36101685,29356.96435368,-15242.709489319997
Romania,1998,-14111.423117999992,-88119.550179,-19776.132377999995,-93784.25943899999,-76288.35094799999,-150296.478009,,,,,,,,,,,,
Sweden,1998,235516.88766900002,228156.43918800002,234419.290749,227058.842268,223469.45480900002,216109.00632800002,,,,,,,,,,,,
Slovenia,1998,10030.955645999999,-9451.574067000001,9462.420546,-10020.109166999999,3790.6060959999995,-15691.923617,,,,,,,,,,,,
Slovakia,1998,4279.862125,-19334.132182999998,2518.6374849999993,-21095.356823,-15051.674994999998,-38665.669303,3631.8070463500007,-19982.18726165,1438.54568725,-22175.448620749998,-20441.847395199995,-44055.8417032,3337.76084635,-20276.233461649997,948.4686872499988,-22665.525620750002,-22887.5649952,-46501.55930319999
Belgium,1999,191899.538976,112404.761217,185783.28477600001,106288.50701700003,124766.367876,45271.590117000014,,,,,,,,,,,,
Bulgaria,1999,-22926.768504,-78663.245119,-24712.686623999994,-80449.163239,-42529.34596399999,-98265.822579,,,,,,,,,,,,
Cyprus,1999,7734.937217999999,6978.6603939999995,7402.194318,6645.917493999999,4082.687768,3326.4109439999993,,,,,,,,,,,,
Czechia,1999,21909.270541000005,-28303.093940999992,16281.236941000003,-33931.12754099999,-39865.098259,-90077.462741,,,,,,,,,,,,
Germany,1999,1862524.813975,1571791.420169,1819553.925175,1528820.531369,1390868.153575,1100134.759769,,,,,,,,,,,,
Denmark,1999,155163.972715,143447.375359,151729.61423500002,140013.016879,117467.79987500001,105751.20251900001,154361.3329519,142644.7355959,150391.8812965,138675.2839405,110791.8754962,99075.27814020001,153681.9913519,141965.3939959,149259.6452965,137543.04794050002,105141.4786962,93424.88134020001
Estonia,1999,2545.727152,1212.6146680000002,1960.5201519999996,627.4076679999998,-3877.6163479999996,-5210.728832000001,,,,,,,,,,,,
Greece,1999,102615.031242,64501.05646600001,97563.030582,59449.055806000004,47163.30971200002,9049.334936000014,,,,,,,,,,,,
Spain,1999,477975.412047,302550.082467,464244.53264700004,288819.203067,327262.664347,151837.334767,,,,,,,,,,,,
Finland,1999,119348.0575,112605.686407,117361.97662,110619.605527,97548.45546,90806.084367,,,,,,,,,,,,
France,1999,1216680.033322,946322.6244000001,1195030.360942,924672.95202,979049.1055320001,708691.69661,,,,,,,,,,,,
Croatia,1999,6288.556842,-15226.970019,5540.446962000002,-15975.079898999997,-1922.8396979999998,-23438.366558999995,,,,,,,,,,,,
Hungary,1999,12568.300228,-48996.42262599999,9366.048867999998,-52198.673986,-22580.220651999996,-84144.94350599998,12264.874807870001,-49299.84804613,8860.339834449995,-52704.38301955,-25103.949543240007,-86668.67239724,11619.528007870002,-49945.19484613,7784.761834450001,-53779.961019550006,-30471.595943240005,-92036.31879723998
Ireland,1999,78879.481074,64410.204022000005,75803.088594,61333.811542,45112.411234,30643.134182,,,,,,,,,,,,
Italy,1999,929933.879801,509594.68984500004,907596.141161,487256.95120500005,684750.605681,264411.4157250001,,,,,,,,,,,,
Lithuania,1999,7900.296230999999,4529.451491,7314.621351,3943.7766109999993,1471.817191,-1899.0275490000004,,,,,,,,,,,,
Latvia,1999,-300.371768,-5427.665119999999,-393.11910799999987,-5520.4124600000005,-1318.3842379999996,-6445.67759,,,,,,,,,,,,
