countries,Year,GHG [t],GDP [MIO_EURO],Population,As [t],Pb [t],NOx [t],SOx [t],NH3 [t],PM2.5 [t],PM10 [t],NMVOC [t],Cd [t],Hg [t],Cr [t],Ni [t]
Poland,1995,429412830.0,108834.6,38580597.0,71.0,579.0,1079639.0,2043851.0,374502.0,455001.0,642573.0,951110.0,12.0,13.0,54.0,166.0
Portugal,1995,59283270.0,91015.8,10008659.0,4.0,790.0,296991.0,321644.0,69951.0,64065.0,82130.0,235590.0,3.0,2.0,13.0,116.0
Romania,1995,157619660.0,28589.8,22712394.0,37.0,356.0,375572.0,696106.0,215861.0,72979.0,114253.0,289782.0,4.0,3.0,19.0,64.0
Sweden,1995,30685790.0,204328.5,8816381.0,2.0,30.0,257900.0,70518.0,61135.0,42248.0,62499.0,277463.0,1.0,1.0,12.0,30.0
Slovenia,1995,13727260.0,16340.4,1989477.0,1.0,24.0,75225.0,124696.0,21941.0,13921.0,17056.0,62677.0,1.0,0.0,2.0,2.0
Slovakia,1995,43775110.0,15322.9,5356207.0,2.0,46.0,112486.0,120510.0,37949.0,51101.0,61209.0,170677.0,1.0,1.0,4.0,4.0
Belgium,1996,154747820.0,219965.3,10143047.0,6.0,216.0,395291.0,247627.0,137102.0,43061.0,59294.0,302979.0,4.0,3.0,35.0,84.0
Bulgaria,1996,56740250.0,9829.8,8384715.0,15.0,483.0,206891.0,1654719.0,52773.0,33900.0,56693.0,149304.0,7.0,3.0,16.0,49.0
Cyprus,1996,7249720.0,7890.1,656333.0,0.0,26.0,21291.0,41631.0,6961.0,2583.0,4825.0,13673.0,0.0,0.0,0.0,8.0
Czechia,1996,153824140.0,53088.1,10321344.0,9.0,266.0,373323.0,914323.0,89026.0,121517.0,167404.0,384795.0,2.0,4.0,17.0,25.0
Germany,1996,1121151080.0,1967956.2,81817499.0,9.0,537.0,2085320.0,1475863.0,629542.0,189408.0,330339.0,2263013.0,20.0,20.0,86.0,190.0
